PatientID,Model,QuestionType,QuestionIndex,Verdict
25,Anonymized_gpt-3.5-turbo,PQ,5,False
25,Anonymized_gpt-3.5-turbo,PQ,7,True
25,Anonymized_gpt-3.5-turbo,PQ,2,False
25,Anonymized_gpt-3.5-turbo,PQ,4,False
25,Anonymized_gpt-3.5-turbo,PQ,6,False
25,Anonymized_gpt-3.5-turbo,PQ,3,False
25,Anonymized_gpt-3.5-turbo,CQ,7,True
25,Anonymized_gpt-3.5-turbo,PQ,1,False
25,Anonymized_gpt-3.5-turbo,PQ,8,False
25,Anonymized_gpt-3.5-turbo,CQ,2,False
25,Anonymized_gpt-3.5-turbo,PQ,9,False
25,Anonymized_gpt-3.5-turbo,CQ,8,False
25,Anonymized_gpt-4o,PQ,1,False
25,Anonymized_gpt-3.5-turbo,CQ,3,False
25,Anonymized_gpt-3.5-turbo,CQ,10,False
25,Anonymized_gpt-4o,PQ,3,False
25,Anonymized_gpt-4o,PQ,5,False
25,Anonymized_gpt-4o,PQ,4,False
25,Anonymized_gpt-4o,CQ,4,False
25,Anonymized_gpt-4o,PQ,6,False
25,Anonymized_gpt-3.5-turbo,PQ,10,False
25,Anonymized_gpt-4o,CQ,1,False
25,Anonymized_gpt-4o,CQ,6,False
25,Anonymized_gpt-3.5-turbo,CQ,4,False
25,Anonymized_gpt-4o,PQ,8,False
25,Anonymized_gpt-4o,PQ,10,False
25,Anonymized_gpt-4o,CQ,3,False
25,Anonymized_gpt-4o,PQ,9,False
25,Anonymized_gpt-4o,CQ,9,False
25,Anonymized_gpt-4o,PQ,7,True
25,Anonymized_NER,CQ,2,False
25,Anonymized_gpt-4o,CQ,2,False
25,Anonymized_NER,PQ,4,False
25,Anonymized_gpt-3.5-turbo,CQ,5,False
25,Anonymized_gpt-4o,CQ,8,False
25,Anonymized_NER,CQ,3,False
25,Anonymized_gpt-4o,CQ,10,False
25,Anonymized_NER,CQ,5,False
25,Anonymized_gpt-4o,PQ,2,False
25,Anonymized_NER,CQ,6,False
25,Anonymized_gpt-4o,CQ,5,False
25,Anonymized_NER,PQ,3,False
25,Anonymized_gpt-3.5-turbo,CQ,9,False
25,Anonymized_NER,PQ,6,False
25,Anonymized_NER,PQ,9,True
25,Anonymized_NER,CQ,4,False
25,Anonymized_DeepSeek-V4-Pro,PQ,2,False
25,Anonymized_DeepSeek-V4-Pro,PQ,3,False
25,Anonymized_NER,PQ,1,False
25,Anonymized_NER,CQ,9,False
25,Anonymized_NER,PQ,2,False
25,Anonymized_DeepSeek-V4-Pro,CQ,2,False
25,Anonymized_DeepSeek-V4-Pro,PQ,4,False
25,Anonymized_DeepSeek-V4-Pro,PQ,1,False
25,Anonymized_DeepSeek-V4-Pro,CQ,1,False
25,Anonymized_gpt-3.5-turbo,CQ,6,False
25,Anonymized_DeepSeek-V4-Pro,PQ,7,True
25,Anonymized_DeepSeek-V4-Pro,PQ,6,False
25,Anonymized_NER,PQ,8,False
25,Anonymized_DeepSeek-V4-Pro,CQ,6,False
25,Anonymized_NER,CQ,7,True
25,Anonymized_DeepSeek-V4-Pro,CQ,5,False
25,Anonymized_NER,PQ,5,False
25,Anonymized_DeepSeek-V4-Pro,CQ,8,False
25,Anonymized_DeepSeek-V4-Pro,CQ,4,False
25,Anonymized_DeepSeek-V4-Pro,CQ,10,False
25,Anonymized_NER,CQ,10,False
25,Anonymized_DeepSeek-V4-Pro,CQ,3,False
25,Anonymized_gpt-4o,CQ,7,True
25,Anonymized_DeepSeek-V4-Pro,CQ,9,False
25,Anonymized_Llama-4-Maverick-17B-128E-Instruct-FP8,CQ,1,False
25,Anonymized_Llama-4-Maverick-17B-128E-Instruct-FP8,PQ,2,False
