PatientID,Model,QuestionType,Verdict
25,Anonymized_gpt-4o,PQ,False
25,Anonymized_gpt-3.5-turbo,CQ,False
25,Anonymized_gpt-3.5-turbo,PQ,False
25,Anonymized_gpt-3.5-turbo,PQ,False
25,Anonymized_gpt-3.5-turbo,PQ,False
25,Anonymized_gpt-3.5-turbo,PQ,False
25,Anonymized_gpt-3.5-turbo,PQ,False
25,Anonymized_gpt-3.5-turbo,CQ,False
25,Anonymized_gpt-3.5-turbo,PQ,False
25,Anonymized_gpt-3.5-turbo,PQ,False
25,Anonymized_gpt-3.5-turbo,CQ,True
25,Anonymized_gpt-3.5-turbo,PQ,True
25,Anonymized_gpt-3.5-turbo,PQ,False
25,Anonymized_gpt-3.5-turbo,CQ,False
25,Anonymized_gpt-3.5-turbo,CQ,True
25,Anonymized_gpt-4o,PQ,False
25,Anonymized_gpt-4o,CQ,False
25,Anonymized_gpt-4o,PQ,False
25,Anonymized_gpt-3.5-turbo,PQ,False
25,Anonymized_gpt-4o,PQ,False
25,Anonymized_gpt-4o,CQ,False
25,Anonymized_gpt-4o,PQ,False
25,Anonymized_gpt-4o,CQ,False
25,Anonymized_gpt-3.5-turbo,CQ,False
25,Anonymized_gpt-4o,PQ,False
25,Anonymized_gpt-4o,CQ,False
25,Anonymized_gpt-4o,PQ,False
25,Anonymized_gpt-4o,PQ,False
25,Anonymized_gpt-4o,PQ,True
25,Anonymized_gpt-3.5-turbo,CQ,False
25,Anonymized_gpt-4o,CQ,False
25,Anonymized_gpt-4o,CQ,False
25,Anonymized_gpt-3.5-turbo,CQ,False
25,Anonymized_NER,PQ,False
25,Anonymized_NER,CQ,False
25,Anonymized_gpt-4o,CQ,True
25,Anonymized_NER,CQ,False
25,Anonymized_NER,CQ,False
25,Anonymized_gpt-4o,CQ,False
25,Anonymized_NER,CQ,False
25,Anonymized_gpt-4o,CQ,False
25,Anonymized_gpt-4o,PQ,False
25,Anonymized_NER,PQ,True
25,Anonymized_NER,PQ,False
25,Anonymized_NER,PQ,False
25,Anonymized_NER,CQ,False
25,Anonymized_gpt-3.5-turbo,CQ,False
25,Anonymized_DeepSeek-V4-Pro,PQ,False
25,Anonymized_DeepSeek-V4-Pro,CQ,False
25,Anonymized_NER,PQ,False
25,Anonymized_NER,PQ,False
25,Anonymized_DeepSeek-V4-Pro,PQ,False
25,Anonymized_NER,CQ,False
25,Anonymized_DeepSeek-V4-Pro,PQ,False
25,Anonymized_DeepSeek-V4-Pro,CQ,False
25,Anonymized_NER,CQ,True
25,Anonymized_DeepSeek-V4-Pro,CQ,False
25,Anonymized_DeepSeek-V4-Pro,PQ,False
25,Anonymized_DeepSeek-V4-Pro,CQ,False
25,Anonymized_NER,PQ,False
25,Anonymized_DeepSeek-V4-Pro,PQ,False
25,Anonymized_DeepSeek-V4-Pro,PQ,True
25,Anonymized_DeepSeek-V4-Pro,CQ,True
25,Anonymized_NER,PQ,False
25,Anonymized_NER,CQ,True
25,Anonymized_DeepSeek-V4-Pro,CQ,False
25,Anonymized_DeepSeek-V4-Pro,CQ,False
25,Anonymized_DeepSeek-V4-Pro,CQ,False
25,Anonymized_Llama-4-Maverick-17B-128E-Instruct-FP8,CQ,False
25,Anonymized_Llama-4-Maverick-17B-128E-Instruct-FP8,PQ,False
25,Anonymized_gpt-3.5-turbo,CQ,False
25,Anonymized_gpt-4o,CQ,True
25,Anonymized_DeepSeek-V4-Pro,PQ,False
25,Anonymized_Llama-4-Maverick-17B-128E-Instruct-FP8,PQ,False
25,Anonymized_Llama-4-Maverick-17B-128E-Instruct-FP8,PQ,False
25,Anonymized_DeepSeek-V4-Pro,CQ,False
25,Anonymized_Llama-4-Maverick-17B-128E-Instruct-FP8,PQ,False
25,Anonymized_DeepSeek-V4-Pro,CQ,True
25,Anonymized_Llama-4-Maverick-17B-128E-Instruct-FP8,CQ,False
25,Anonymized_Llama-4-Maverick-17B-128E-Instruct-FP8,PQ,False
25,Anonymized_NER,PQ,True
25,Anonymized_Llama-4-Maverick-17B-128E-Instruct-FP8,CQ,True
25,Anonymized_Llama-4-Maverick-17B-128E-Instruct-FP8,PQ,False
25,Anonymized_Llama-4-Maverick-17B-128E-Instruct-FP8,CQ,False
25,Anonymized_DeepSeek-V4-Pro,PQ,False
25,Anonymized_Llama-4-Maverick_fewshot,CQ,False
25,Anonymized_Llama-4-Maverick_fewshot,CQ,False
25,Anonymized_Llama-4-Maverick-17B-128E-Instruct-FP8,PQ,False
25,Anonymized_DeepSeek-V4-Pro,PQ,False
25,Anonymized_Llama-4-Maverick_fewshot,PQ,False
25,Anonymized_Llama-4-Maverick-17B-128E-Instruct-FP8,CQ,True
25,Anonymized_Llama-4-Maverick-17B-128E-Instruct-FP8,CQ,False
25,Anonymized_NER,PQ,False
25,Anonymized_Llama-4-Maverick-17B-128E-Instruct-FP8,PQ,False
25,Anonymized_Llama-4-Maverick_fewshot,CQ,False
25,Anonymized_Llama-4-Maverick-17B-128E-Instruct-FP8,CQ,False
25,Anonymized_Llama-4-Maverick-17B-128E-Instruct-FP8,CQ,True
25,Anonymized_Llama-4-Maverick_fewshot,PQ,False
25,Anonymized_DeepSeek-V4-Pro,PQ,False
25,Anonymized_Llama-4-Maverick-17B-128E-Instruct-FP8,PQ,False
25,Anonymized_Llama-4-Maverick-17B-128E-Instruct-FP8,CQ,False
25,Anonymized_Llama-4-Maverick_fewshot,PQ,False
25,Anonymized_Llama-4-Maverick_fewshot,PQ,False
25,Anonymized_Llama-4-Maverick_fewshot,CQ,False
25,Anonymized_NER,CQ,False
25,Anonymized_Llama-4-Maverick_fewshot,CQ,True
25,Anonymized_Llama-4-Maverick_fewshot,PQ,False
25,Anonymized_Llama-4-Maverick_fewshot,PQ,False
25,Anonymized_Llama-4-Maverick_fewshot,PQ,True
25,Anonymized_Llama-4-Maverick-17B-128E-Instruct-FP8,CQ,False
25,Anonymized_Llama-4-Maverick_fewshot,CQ,True
25,Anonymized_NER,CQ,False
25,Anonymized_Llama-4-Maverick_fewshot,CQ,False
25,Anonymized_Llama-4-Maverick_synthetic,PQ,False
25,Anonymized_Llama-4-Maverick_fewshot,PQ,False
25,Anonymized_Llama-4-Maverick_fewshot,CQ,True
25,Anonymized_Llama-4-Maverick_synthetic,CQ,False
25,Anonymized_Llama-4-Maverick_synthetic,CQ,False
25,Anonymized_Llama-4-Maverick_fewshot,PQ,False
25,Anonymized_Llama-4-Maverick_synthetic,CQ,False
25,Anonymized_Llama-4-Maverick_fewshot,CQ,False
25,Anonymized_Llama-4-Maverick_synthetic,PQ,False
25,Anonymized_Llama-4-Maverick_synthetic,PQ,False
25,Anonymized_Llama-4-Maverick-17B-128E-Instruct-FP8,PQ,True
25,Anonymized_Llama-4-Maverick_fewshot,CQ,False
25,Anonymized_Llama-4-Maverick_synthetic,PQ,True
25,Anonymized_Llama-4-Maverick_synthetic,CQ,False
25,Anonymized_Llama-4-Maverick_synthetic,CQ,True
25,Anonymized_Llama-4-Maverick_synthetic,PQ,False
25,Anonymized_Llama-4-Maverick_fewshot,PQ,False
25,Anonymized_Llama-4-Maverick_synthetic,PQ,False
25,Anonymized_Llama-4-Maverick_synthetic,CQ,True
25,Anonymized_Llama-4-Maverick_synthetic,CQ,False
25,Anonymized_Llama-4-Maverick_synthetic,PQ,False
25,Anonymized_Llama-4-Maverick_synthetic,PQ,False
25,Anonymized_Llama-4-Maverick_synthetic,CQ,False
32,Anonymized_gpt-3.5-turbo,PQ,False
25,Anonymized_Llama-4-Maverick_synthetic,CQ,False
25,Anonymized_Llama-4-Maverick_synthetic,PQ,False
25,Anonymized_Llama-4-Maverick_synthetic,PQ,False
32,Anonymized_gpt-3.5-turbo,PQ,False
25,Anonymized_Llama-4-Maverick_synthetic,CQ,False
32,Anonymized_gpt-4o,CQ,False
32,Anonymized_gpt-3.5-turbo,CQ,False
32,Anonymized_gpt-3.5-turbo,PQ,False
32,Anonymized_gpt-3.5-turbo,PQ,False
32,Anonymized_gpt-3.5-turbo,PQ,False
32,Anonymized_gpt-3.5-turbo,CQ,False
32,Anonymized_gpt-3.5-turbo,PQ,False
32,Anonymized_gpt-3.5-turbo,CQ,True
32,Anonymized_gpt-3.5-turbo,PQ,False
32,Anonymized_gpt-3.5-turbo,PQ,False
32,Anonymized_gpt-3.5-turbo,CQ,False
32,Anonymized_gpt-3.5-turbo,CQ,True
32,Anonymized_gpt-3.5-turbo,PQ,False
32,Anonymized_gpt-3.5-turbo,PQ,False
32,Anonymized_gpt-4o,CQ,True
32,Anonymized_gpt-4o,CQ,False
32,Anonymized_NER,CQ,False
32,Anonymized_gpt-4o,PQ,False
32,Anonymized_gpt-4o,PQ,False
32,Anonymized_gpt-4o,CQ,False
32,Anonymized_gpt-3.5-turbo,CQ,False
32,Anonymized_gpt-3.5-turbo,CQ,False
32,Anonymized_NER,PQ,False
32,Anonymized_gpt-4o,CQ,False
32,Anonymized_NER,PQ,False
32,Anonymized_gpt-4o,PQ,False
32,Anonymized_gpt-3.5-turbo,CQ,False
32,Anonymized_gpt-4o,CQ,False
32,Anonymized_gpt-3.5-turbo,CQ,False
32,Anonymized_gpt-4o,CQ,False
32,Anonymized_gpt-4o,PQ,False
32,Anonymized_gpt-4o,PQ,False
32,Anonymized_NER,CQ,False
32,Anonymized_NER,PQ,True
32,Anonymized_NER,CQ,False
32,Anonymized_NER,CQ,False
32,Anonymized_NER,CQ,False
32,Anonymized_DeepSeek-V4-Pro,PQ,False
32,Anonymized_gpt-4o,CQ,True
32,Anonymized_NER,PQ,False
32,Anonymized_NER,CQ,True
32,Anonymized_gpt-4o,PQ,False
32,Anonymized_gpt-4o,CQ,False
32,Anonymized_NER,PQ,False
32,Anonymized_NER,PQ,False
32,Anonymized_NER,PQ,False
32,Anonymized_NER,CQ,False
32,Anonymized_NER,PQ,False
32,Anonymized_DeepSeek-V4-Pro,CQ,False
32,Anonymized_DeepSeek-V4-Pro,CQ,False
32,Anonymized_gpt-4o,CQ,True
32,Anonymized_NER,CQ,True
32,Anonymized_DeepSeek-V4-Pro,PQ,True
32,Anonymized_DeepSeek-V4-Pro,PQ,False
32,Anonymized_DeepSeek-V4-Pro,PQ,False
32,Anonymized_gpt-4o,PQ,False
32,Anonymized_DeepSeek-V4-Pro,CQ,False
32,Anonymized_DeepSeek-V4-Pro,CQ,False
32,Anonymized_DeepSeek-V4-Pro,CQ,True
32,Anonymized_DeepSeek-V4-Pro,PQ,False
32,Anonymized_DeepSeek-V4-Pro,PQ,False
32,Anonymized_DeepSeek-V4-Pro,CQ,True
32,Anonymized_NER,PQ,False
32,Anonymized_gpt-4o,PQ,True
32,Anonymized_DeepSeek-V4-Pro,CQ,False
32,Anonymized_NER,PQ,False
32,Anonymized_Llama-4-Maverick-17B-128E-Instruct-FP8,CQ,False
32,Anonymized_Llama-4-Maverick-17B-128E-Instruct-FP8,CQ,False
32,Anonymized_Llama-4-Maverick-17B-128E-Instruct-FP8,CQ,False
32,Anonymized_Llama-4-Maverick-17B-128E-Instruct-FP8,CQ,False
32,Anonymized_DeepSeek-V4-Pro,PQ,False
32,Anonymized_Llama-4-Maverick-17B-128E-Instruct-FP8,PQ,False
32,Anonymized_Llama-4-Maverick-17B-128E-Instruct-FP8,PQ,True
32,Anonymized_NER,CQ,False
32,Anonymized_DeepSeek-V4-Pro,CQ,False
32,Anonymized_Llama-4-Maverick-17B-128E-Instruct-FP8,PQ,False
32,Anonymized_DeepSeek-V4-Pro,PQ,False
32,Anonymized_DeepSeek-V4-Pro,CQ,False
32,Anonymized_NER,CQ,False
32,Anonymized_Llama-4-Maverick-17B-128E-Instruct-FP8,CQ,False
32,Anonymized_Llama-4-Maverick_fewshot,PQ,False
32,Anonymized_DeepSeek-V4-Pro,PQ,False
32,Anonymized_Llama-4-Maverick-17B-128E-Instruct-FP8,PQ,False
32,Anonymized_Llama-4-Maverick-17B-128E-Instruct-FP8,CQ,True
32,Anonymized_Llama-4-Maverick-17B-128E-Instruct-FP8,CQ,False
32,Anonymized_Llama-4-Maverick_fewshot,CQ,False
32,Anonymized_Llama-4-Maverick-17B-128E-Instruct-FP8,PQ,False
32,Anonymized_Llama-4-Maverick_fewshot,CQ,False
32,Anonymized_gpt-3.5-turbo,CQ,True
32,Anonymized_Llama-4-Maverick_fewshot,PQ,False
32,Anonymized_DeepSeek-V4-Pro,PQ,False
32,Anonymized_Llama-4-Maverick-17B-128E-Instruct-FP8,PQ,False
32,Anonymized_Llama-4-Maverick-17B-128E-Instruct-FP8,CQ,True
32,Anonymized_Llama-4-Maverick-17B-128E-Instruct-FP8,CQ,False
32,Anonymized_Llama-4-Maverick_fewshot,CQ,False
32,Anonymized_Llama-4-Maverick-17B-128E-Instruct-FP8,PQ,False
32,Anonymized_Llama-4-Maverick_fewshot,CQ,False
32,Anonymized_Llama-4-Maverick_synthetic,CQ,True
32,Anonymized_Llama-4-Maverick_synthetic,PQ,False
32,Anonymized_gpt-4o,PQ,False
32,Anonymized_Llama-4-Maverick_fewshot,CQ,False
32,Anonymized_Llama-4-Maverick_fewshot,PQ,False
32,Anonymized_Llama-4-Maverick_fewshot,PQ,False
32,Anonymized_Llama-4-Maverick-17B-128E-Instruct-FP8,PQ,False
32,Anonymized_Llama-4-Maverick_synthetic,PQ,False
32,Anonymized_DeepSeek-V4-Pro,CQ,False
32,Anonymized_Llama-4-Maverick_fewshot,CQ,True
32,Anonymized_gpt-4o,PQ,False
32,Anonymized_Llama-4-Maverick_synthetic,PQ,True
32,Anonymized_Llama-4-Maverick_fewshot,CQ,True
32,Anonymized_Llama-4-Maverick_fewshot,PQ,False
32,Anonymized_Llama-4-Maverick_synthetic,CQ,False
32,Anonymized_Llama-4-Maverick_fewshot,CQ,False
32,Anonymized_Llama-4-Maverick-17B-128E-Instruct-FP8,CQ,True
32,Anonymized_Llama-4-Maverick_synthetic,PQ,False
32,Anonymized_Llama-4-Maverick_synthetic,CQ,False
32,Anonymized_Llama-4-Maverick_synthetic,PQ,False
32,Anonymized_Llama-4-Maverick_synthetic,CQ,False
32,Anonymized_Llama-4-Maverick_synthetic,CQ,False
32,Anonymized_Llama-4-Maverick_synthetic,PQ,False
32,Anonymized_Llama-4-Maverick_synthetic,CQ,False
32,Anonymized_Llama-4-Maverick_fewshot,PQ,False
32,Anonymized_Llama-4-Maverick_synthetic,PQ,False
32,Anonymized_Llama-4-Maverick_synthetic,PQ,False
32,Anonymized_Llama-4-Maverick_fewshot,PQ,False
32,Anonymized_Llama-4-Maverick-17B-128E-Instruct-FP8,PQ,False
32,Anonymized_Llama-4-Maverick_synthetic,PQ,False
32,Anonymized_Llama-4-Maverick_fewshot,PQ,False
32,Anonymized_Llama-4-Maverick_synthetic,CQ,False
32,Anonymized_Llama-4-Maverick-17B-128E-Instruct-FP8,PQ,False
41,Anonymized_gpt-3.5-turbo,PQ,False
32,Anonymized_Llama-4-Maverick_fewshot,CQ,False
32,Anonymized_Llama-4-Maverick_synthetic,CQ,True
41,Anonymized_gpt-3.5-turbo,CQ,False
41,Anonymized_gpt-3.5-turbo,PQ,False
32,Anonymized_Llama-4-Maverick_synthetic,CQ,False
32,Anonymized_Llama-4-Maverick_synthetic,PQ,False
41,Anonymized_gpt-3.5-turbo,CQ,True
41,Anonymized_gpt-3.5-turbo,CQ,True
32,Anonymized_Llama-4-Maverick_synthetic,CQ,False
41,Anonymized_gpt-3.5-turbo,PQ,False
32,Anonymized_Llama-4-Maverick_fewshot,PQ,False
32,Anonymized_Llama-4-Maverick_fewshot,CQ,True
32,Anonymized_Llama-4-Maverick_fewshot,PQ,False
41,Anonymized_gpt-3.5-turbo,PQ,False
41,Anonymized_gpt-4o,PQ,False
41,Anonymized_gpt-4o,PQ,False
41,Anonymized_gpt-3.5-turbo,PQ,False
41,Anonymized_gpt-3.5-turbo,PQ,True
41,Anonymized_gpt-4o,CQ,True
